time_stamp,security_id,value,volume
2014-11-03 09:00:00,CLZ4,80.82,1
2014-11-03 09:00:00,CLZ4,80.82,1
2014-11-03 09:00:00,CLZ4,80.82,1
2014-11-03 09:00:00,CLZ4,80.82,1
2014-11-03 09:00:00,CLZ4,80.81,2
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,COZ4,85.97,2
2014-11-03 09:00:00,COZ4,85.98,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,COZ4,85.98,5
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,COZ4,85.98,1
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,CLZ4,80.81,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,COZ4,85.97,2
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.81,1
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,CLZ4,80.79,1
2014-11-03 09:00:00,CLZ4,80.78,1
2014-11-03 09:00:00,CLZ4,80.81,3
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,COZ4,85.97,2
2014-11-03 09:00:00,CLZ4,80.78,2
2014-11-03 09:00:00,COZ4,85.97,2
2014-11-03 09:00:00,CLZ4,80.78,1
2014-11-03 09:00:00,CLZ4,80.78,1
2014-11-03 09:00:00,COZ4,85.98,1
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,CLZ4,80.78,1
2014-11-03 09:00:00,COZ4,85.96,1
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,COZ4,85.98,1
2014-11-03 09:00:00,COZ4,85.96,1
2014-11-03 09:00:00,COZ4,85.96,1
2014-11-03 09:00:00,COZ4,85.98,1
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,COZ4,85.97,1
2014-11-03 09:00:00,CLZ4,80.81,1
2014-11-03 09:00:00,CLZ4,80.81,8
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,COZ4,85.98,2
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,CLZ4,80.8,1
2014-11-03 09:00:00,COZ4,85.98,1
2014-11-03 09:00:00,CLZ4,80.81,1
2014-11-03 09:00:00,CLZ4,80.81,2
2014-11-03 09:00:00,CLZ4,80.8,2
2014-11-03 09:00:00,COZ4,85.98,2
2014-11-03 09:00:00,CLZ4,80.81,1
2014-11-03 09:00:00,CLZ4,80.81,1
2014-11-03 09:00:00,COZ4,85.98,1
